sample	cluster_joint_r0.3	cluster_joint_r0.5	cluster_joint_r0.8	cluster_joint_r4	tsne_x	tsne_y	modality
UMB5577_1_UMB5577_2_B2_AD008_rna	1	2	2	12	7.8382745	-9.605449	human_frontal_rna
UMB5577_1_UMB5577_2_B2_AD010_rna	4	5	4	21	1.0068305	-0.12270611	human_frontal_rna
UMB5577_1_UMB5577_2_B2_AD012_rna	8	9	10	30	-6.0651207	-6.8998675	human_frontal_rna
UMB5577_1_UMB5577_2_B3_AD001_rna	4	5	4	11	-0.08082025	1.8777153	human_frontal_rna
UMB5577_1_UMB5577_2_B3_AD002_rna	7	8	9	13	3.568081	6.3405867	human_frontal_rna
UMB5577_1_UMB5577_2_B3_AD004_rna	8	9	10	37	-4.7197914	-7.0738096	human_frontal_rna
UMB5577_1_UMB5577_2_B3_AD006_rna	11	12	6	10	18.35233	3.3927045	human_frontal_rna
UMB5577_1_UMB5577_2_B3_AD007_rna	1	2	2	14	6.9037886	-10.696567	human_frontal_rna
UMB5577_1_UMB5577_2_B3_AD008_rna	9	10	11	13	2.2230191	7.0558896	human_frontal_rna
UMB5577_1_UMB5577_2_B3_AD010_rna	1	1	3	25	9.526445	-3.870597	human_frontal_rna
UMB5577_1_UMB5577_2_B3_AD012_rna	5	6	8	22	9.972516	14.092865	human_frontal_rna
UMB5577_1_UMB5577_2_B4_AD001_rna	10	11	14	19	-3.738979	-1.5055767	human_frontal_rna
UMB5577_1_UMB5577_2_B4_AD002_rna	10	11	14	19	-0.4831637	-2.3667433	human_frontal_rna
UMB5577_1_UMB5577_2_B4_AD004_rna	8	9	10	37	-4.5601096	-7.320653	human_frontal_rna
UMB5577_1_UMB5577_2_B4_AD006_rna	1	1	3	18	12.115232	-8.8713665	human_frontal_rna
UMB5577_1_UMB5577_2_B4_AD007_rna	5	6	8	22	10.521592	13.936098	human_frontal_rna
UMB5577_1_UMB5577_2_B4_AD008_rna	8	9	10	40	-4.4697895	-5.744451	human_frontal_rna
UMB5577_1_UMB5577_2_B4_AD010_rna	2	1	1	27	10.372772	-5.4277124	human_frontal_rna
UMB5577_1_UMB5577_2_B4_AD012_rna	7	8	9	13	4.14068	7.2547336	human_frontal_rna
UMB5577_1_UMB5577_2_B5_AD001_rna	8	9	10	35	-8.571713	-8.34452	human_frontal_rna
UMB5577_1_UMB5577_2_B5_AD002_rna	1	1	12	17	8.427124	-5.1455345	human_frontal_rna
UMB5577_1_UMB5577_2_B5_AD004_rna	13	14	22	45	-6.8511825	2.8158302	human_frontal_rna
UMB5577_1_UMB5577_2_B5_AD006_rna	2	3	1	5	12.543027	-2.7907946	human_frontal_rna
UMB5577_1_UMB5577_2_B5_AD007_rna	4	5	4	11	-0.8714769	2.574319	human_frontal_rna
UMB5577_1_UMB5577_2_B5_AD010_rna	1	2	12	17	6.2181015	-6.017397	human_frontal_rna
UMB5577_1_UMB5577_2_B5_AD012_rna	1	1	3	7	8.3259735	-7.9640493	human_frontal_rna
UMB5577_1_UMB5577_2_B6_AD001_rna	10	11	14	19	-2.038218	-1.7407751	human_frontal_rna
UMB5577_1_UMB5577_2_B6_AD002_rna	1	2	2	12	7.897086	-9.728116	human_frontal_rna
UMB5577_1_UMB5577_2_B6_AD004_rna	1	2	2	3	6.2917924	-9.24064	human_frontal_rna
UMB5577_1_UMB5577_2_B6_AD007_rna	2	1	3	24	10.776621	-6.6379304	human_frontal_rna
UMB5577_1_UMB5577_2_B6_AD008_rna	6	7	7	29	-1.2665704	-10.820613	human_frontal_rna
UMB5577_1_UMB5577_2_B6_AD010_rna	1	2	3	20	7.708057	-6.711479	human_frontal_rna
UMB5577_1_UMB5577_2_B6_AD012_rna	7	8	9	6	5.368563	5.3012633	human_frontal_rna
UMB5577_1_UMB5577_2_B7_AD001_rna	7	8	9	11	2.6632192	3.5763001	human_frontal_rna
UMB5577_1_UMB5577_2_B7_AD002_rna	2	1	1	27	10.410593	-3.9778495	human_frontal_rna
UMB5577_1_UMB5577_2_B7_AD004_rna	6	7	18	33	-2.4646297	-10.389245	human_frontal_rna
UMB5577_1_UMB5577_2_B7_AD006_rna	6	7	7	50	-0.16294806	-12.324252	human_frontal_rna
UMB5577_1_UMB5577_2_B7_AD007_rna	4	5	4	11	-0.7306952	2.227925	human_frontal_rna
UMB5577_1_UMB5577_2_B7_AD008_rna	16	17	21	43	7.767238	0.24876693	human_frontal_rna
UMB5577_1_UMB5577_2_B7_AD010_rna	1	2	12	17	6.114409	-6.0576863	human_frontal_rna
UMB5577_1_UMB5577_2_B7_AD012_rna	9	10	11	9	-1.5199273	5.4929285	human_frontal_rna
UMB5577_1_UMB5577_2_B8_AD001_rna	4	5	4	21	1.8951889	1.8958323	human_frontal_rna
UMB5577_1_UMB5577_2_B8_AD002_rna	1	2	2	14	6.220503	-9.789692	human_frontal_rna
UMB5577_1_UMB5577_2_B8_AD004_rna	4	5	4	11	-1.2762738	3.0120747	human_frontal_rna
UMB5577_1_UMB5577_2_B8_AD006_rna	1	2	2	3	5.4899445	-9.130221	human_frontal_rna
UMB5577_1_UMB5577_2_B8_AD007_rna	5	6	15	34	8.771698	11.786976	human_frontal_rna
UMB5577_1_UMB5577_2_B8_AD008_rna	7	8	9	13	3.9612126	5.721472	human_frontal_rna
UMB5577_1_UMB5577_2_B8_AD010_rna	2	3	6	4	13.885434	-0.67309535	human_frontal_rna
UMB5577_1_UMB5577_2_B8_AD012_rna	9	10	11	9	-0.06378743	5.991883	human_frontal_rna
UMB5577_1_UMB5577_2_B9_AD001_rna	6	7	7	29	0.000790387	-8.744803	human_frontal_rna
UMB5577_1_UMB5577_2_B9_AD002_rna	1	2	2	20	5.684704	-7.8974514	human_frontal_rna
UMB5577_1_UMB5577_2_B9_AD004_rna	8	9	10	40	-4.2803574	-4.371736	human_frontal_rna
UMB5577_1_UMB5577_2_B9_AD006_rna	8	9	10	40	-4.1162663	-5.797303	human_frontal_rna
UMB5577_1_UMB5577_2_B9_AD008_rna	1	2	2	3	5.699643	-8.875181	human_frontal_rna
UMB5577_1_UMB5577_2_B9_AD010_rna	1	2	12	17	5.9981833	-5.5115957	human_frontal_rna
UMB5577_1_UMB5577_2_B9_AD012_rna	2	1	1	1	11.418727	-5.3917456	human_frontal_rna
UMB5577_1_UMB5577_2_C10_AD001_rna	1	1	17	18	10.461505	-10.371129	human_frontal_rna
UMB5577_1_UMB5577_2_C10_AD002_rna	3	4	5	2	14.375621	7.1913323	human_frontal_rna
UMB5577_1_UMB5577_2_C10_AD004_rna	8	9	10	30	-5.886845	-5.994891	human_frontal_rna
UMB5577_1_UMB5577_2_C10_AD006_rna	8	9	10	40	-4.232142	-4.363258	human_frontal_rna
UMB5577_1_UMB5577_2_C10_AD007_rna	6	7	7	50	-0.39312264	-11.58398	human_frontal_rna
UMB5577_1_UMB5577_2_C10_AD008_rna	1	2	2	14	6.635357	-10.416805	human_frontal_rna
UMB5577_1_UMB5577_2_C10_AD010_rna	9	10	11	9	-1.2509339	6.1389847	human_frontal_rna
UMB5577_1_UMB5577_2_C10_AD012_rna	11	12	6	10	16.360424	4.017843	human_frontal_rna
UMB5577_1_UMB5577_2_C11_AD001_rna	8	9	10	40	-2.526314	-5.834146	human_frontal_rna
UMB5577_1_UMB5577_2_C11_AD002_rna	2	3	1	26	14.487226	-2.3218148	human_frontal_rna
UMB5577_1_UMB5577_2_C11_AD004_rna	9	10	11	9	-1.441168	5.414624	human_frontal_rna
UMB5577_1_UMB5577_2_C11_AD007_rna	4	5	4	15	3.7644596	1.8161391	human_frontal_rna
UMB5577_1_UMB5577_2_C11_AD008_rna	8	9	10	40	-4.814337	-5.423667	human_frontal_rna
UMB5577_1_UMB5577_2_C11_AD010_rna	6	7	18	33	-2.2680118	-10.302457	human_frontal_rna
UMB5577_1_UMB5577_2_C11_AD012_rna	8	9	10	37	-4.263575	-9.618618	human_frontal_rna
UMB5577_1_UMB5577_2_C1_AD001_rna	7	8	9	6	4.864776	3.4835489	human_frontal_rna
UMB5577_1_UMB5577_2_C1_AD002_rna	1	2	2	14	6.5728507	-10.229409	human_frontal_rna
UMB5577_1_UMB5577_2_C1_AD006_rna	2	3	1	1	11.40286	-3.6544192	human_frontal_rna
UMB5577_1_UMB5577_2_C1_AD007_rna	1	2	2	14	6.499073	-9.498749	human_frontal_rna
UMB5577_1_UMB5577_2_C1_AD008_rna	1	2	12	17	5.701855	-4.1949253	human_frontal_rna
UMB5577_1_UMB5577_2_C1_AD010_rna	6	7	18	33	-2.6476188	-7.5678163	human_frontal_rna
UMB5577_1_UMB5577_2_C1_AD012_rna	10	11	14	19	-3.5451388	-1.3721863	human_frontal_rna
UMB5577_1_UMB5577_2_C2_AD001_rna	1	2	3	20	7.5844603	-6.33818	human_frontal_rna
UMB5577_1_UMB5577_2_C2_AD002_rna	4	5	4	15	7.0216646	-3.445246	human_frontal_rna
UMB5577_1_UMB5577_2_C2_AD004_rna	7	8	9	6	5.639178	4.075112	human_frontal_rna
UMB5577_1_UMB5577_2_C2_AD006_rna	10	11	14	19	-3.6243918	-1.6664196	human_frontal_rna
UMB5577_1_UMB5577_2_C2_AD007_rna	8	9	10	40	-4.160856	-5.9749665	human_frontal_rna
UMB5577_1_UMB5577_2_C2_AD008_rna	8	9	10	30	-6.102995	-6.1307006	human_frontal_rna
UMB5577_1_UMB5577_2_C2_AD010_rna	8	9	10	30	-6.4170914	-6.608399	human_frontal_rna
UMB5577_1_UMB5577_2_C3_AD001_rna	7	8	9	6	4.8260827	3.9679246	human_frontal_rna
UMB5577_1_UMB5577_2_C3_AD002_rna	4	5	4	11	0.41143873	2.343622	human_frontal_rna
UMB5577_1_UMB5577_2_C3_AD004_rna	9	10	11	39	-2.6553242	4.214843	human_frontal_rna
UMB5577_1_UMB5577_2_C3_AD006_rna	4	5	4	15	2.8368583	0.865619	human_frontal_rna
UMB5577_1_UMB5577_2_C3_AD007_rna	1	1	3	7	10.207327	-8.067449	human_frontal_rna
UMB5577_1_UMB5577_2_C3_AD008_rna	1	2	12	17	5.9987884	-6.6223025	human_frontal_rna
UMB5577_1_UMB5577_2_C3_AD010_rna	2	3	1	1	12.2606735	-4.511493	human_frontal_rna
UMB5577_1_UMB5577_2_C3_AD012_rna	8	9	10	40	-4.1604385	-5.792513	human_frontal_rna
UMB5577_1_UMB5577_2_C4_AD001_rna	4	5	4	21	1.0683336	-0.43954363	human_frontal_rna
UMB5577_1_UMB5577_2_C4_AD002_rna	4	5	4	11	-0.044462644	1.9531671	human_frontal_rna
UMB5577_1_UMB5577_2_C4_AD004_rna	6	7	18	33	-2.4805036	-10.2972555	human_frontal_rna
UMB5577_1_UMB5577_2_C4_AD006_rna	8	9	10	40	-4.626673	-4.91945	human_frontal_rna
UMB5577_1_UMB5577_2_C4_AD007_rna	1	2	2	14	6.4966626	-8.684519	human_frontal_rna
UMB5577_1_UMB5577_2_C4_AD008_rna	15	16	20	36	-14.763718	-7.545707	human_frontal_rna
UMB5577_1_UMB5577_2_C4_AD010_rna	4	5	4	21	1.499071	1.0174425	human_frontal_rna
UMB5577_1_UMB5577_2_C4_AD012_rna	4	5	4	15	3.008344	1.0004498	human_frontal_rna
UMB5577_1_UMB5577_2_C5_AD001_rna	6	7	7	50	-0.21064946	-12.22745	human_frontal_rna
UMB5577_1_UMB5577_2_C5_AD002_rna	8	9	10	40	-3.7582698	-5.75436	human_frontal_rna
UMB5577_1_UMB5577_2_C5_AD004_rna	6	7	7	23	-0.43758583	-6.2767925	human_frontal_rna
UMB5577_1_UMB5577_2_C5_AD006_rna	2	3	1	5	11.236245	-1.7100089	human_frontal_rna
UMB5577_1_UMB5577_2_C5_AD007_rna	1	2	2	17	6.975903	-6.696649	human_frontal_rna
UMB5577_1_UMB5577_2_C5_AD008_rna	4	5	4	21	1.5608994	1.1742219	human_frontal_rna
UMB5577_1_UMB5577_2_C5_AD010_rna	7	8	9	6	5.562958	4.2074494	human_frontal_rna
UMB5577_1_UMB5577_2_C5_AD012_rna	1	1	3	25	9.30519	-4.2396297	human_frontal_rna
UMB5577_1_UMB5577_2_C6_AD001_rna	6	7	7	23	-0.054568376	-5.203306	human_frontal_rna
UMB5577_1_UMB5577_2_C6_AD002_rna	1	1	3	18	11.337621	-8.104632	human_frontal_rna
UMB5577_1_UMB5577_2_C6_AD006_rna	5	6	8	22	9.259768	14.321351	human_frontal_rna
UMB5577_1_UMB5577_2_C6_AD007_rna	8	9	10	40	-4.1795692	-4.3473763	human_frontal_rna
UMB5577_1_UMB5577_2_C6_AD008_rna	5	6	8	22	8.966049	13.248149	human_frontal_rna
UMB5577_1_UMB5577_2_C7_AD001_rna	6	7	7	50	-0.12560275	-12.346101	human_frontal_rna
UMB5577_1_UMB5577_2_C7_AD002_rna	8	9	10	35	-8.363698	-8.594815	human_frontal_rna
